timestamp,service_name,cpu_usage_percent,memory_usage_bytes,memory_limit_bytes,memory_usage_percent,network_rx_bytes_per_sec,network_tx_bytes_per_sec,fs_reads_per_sec,fs_writes_per_sec,request_rate,error_rate,p50_latency_ms,p99_latency_ms,active_connections,cpu_trend_5min,memory_trend_5min,error_rate_trend_5min,failure,pre_failure,future_failure,failure_type,scenario_id
2026-03-27T23:32:47.967Z,adservice,0.2903,354500608.0,8217317376.0,4.3141,352270.33,259060.2,0.0,168209.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,none,
2026-03-27T23:33:19.257Z,adservice,0.6269,354549760.0,8217317376.0,4.3147,353519.47,259999.87,0.0,169028.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,none,
2026-03-27T23:33:51.479Z,adservice,0.2111,354541568.0,8217317376.0,4.3146,354685.4,260832.93,0.0,169574.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,none,
2026-03-27T23:34:23.645Z,adservice,0.0354,354455552.0,8217317376.0,4.3135,355931.8,261759.67,0.0,170393.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,none,
2026-03-27T23:34:55.854Z,adservice,0.3578,354959360.0,8217317376.0,4.3197,357179.47,262654.6,0.0,171212.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,none,
2026-03-27T23:35:28.044Z,adservice,0.0787,354455552.0,8217317376.0,4.3135,358477.8,263574.0,0.0,171485.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,none,
2026-03-27T23:36:00.213Z,adservice,0.2869,354590720.0,8217317376.0,4.3152,359675.2,264426.47,0.0,172032.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,none,
2026-03-27T23:36:32.413Z,adservice,0.1656,354594816.0,8217317376.0,4.3152,360817.0,265264.07,0.0,172305.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,none,
2026-03-27T23:37:04.589Z,adservice,0.6962,354607104.0,8217317376.0,4.3154,362042.6,266161.6,0.0,172578.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,none,
2026-03-27T23:37:36.804Z,adservice,0.3462,354603008.0,8217317376.0,4.3153,363323.53,267116.13,0.0,173124.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,none,
2026-03-27T23:38:08.954Z,adservice,0.0394,354603008.0,8217317376.0,4.3153,364545.8,267992.2,0.0,173397.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,none,
2026-03-27T23:32:47.967Z,cartservice,0.7445,152186880.0,8217317376.0,1.852,782479.47,724326.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,none,
